2005,Short Film (Animated),The Moon and the Son: An Imagined Conversation
2005,Short Film (Live Action),Six Shooter
2005,Sound,King Kong
2005,Sound Editing,King Kong
2005,Visual Effects,King Kong
2005,Writing,Brokeback Mountain
2005,Writing,Crash
2004,Actor -- Leading Role,Jamie Foxx
2004,Actor -- Supporting Role,Morgan Freeman
2004,Actress -- Leading Role,Hilary Swank
2004,Actress -- Supporting Role,Cate Blanchett
2004,Animated Feature Film,The Incredibles
2004,Art Direction,The Aviator
2004,Cinematography,The Aviator
2004,Costume Design,The Aviator
2004,Directing,Million Dollar Baby
2004,Documentary (Feature),Born into Brothels
2004,Documentary (Short Subject),Mighty Times: The Children's March
2004,Film Editing,The Aviator
2004,Foreign Language Film,The Sea Inside
2004,Makeup,Lemony Snicket's A Series of Unfortunate Events
2004,Music (Scoring),Finding Neverland
2004,Music (Song),The Motorcycle Diaries
2004,Best Picture,Million Dollar Baby
2004,Short Film (Animated),Ryan
2004,Short Film (Live Action),Wasp
2004,Sound,Ray
2004,Sound Editing,The Incredibles
2004,Visual Effects,Spider-Man 2
2004,Writing,Sideways
2004,Writing,Eternal Sunshine of the Spotless Mind
2003,Actor -- Leading Role,Sean Penn
2003,Actor -- Supporting Role,Tim Robbins
2003,Actress -- Leading Role,Charlize Theron
2003,Actress -- Supporting Role,Ren�e Zellweger
2003,Animated Feature Film,Finding Nemo
2003,Art Direction,The Lord of the Rings: The Return of the King
2003,Cinematography,Master and Commander: The Far Side of the World
2003,Costume Design,The Lord of the Rings: The Return of the King
2003,Directing,The Lord of the Rings: The Return of the King
2003,Documentary (Feature),The Fog of War
2003,Documentary (Short Subject),Chernobyl Heart
2003,Film Editing,The Lord of the Rings: The Return of the King
2003,Foreign Language Film,The Barbarian Invasions
2003,Makeup,The Lord of the Rings: The Return of the King
2003,Music (Scoring),The Lord of the Rings: The Return of the King
2003,Music (Song),The Lord of the Rings: The Return of the King
2003,Best Picture,The Lord of the Rings: The Return of the King
2003,Short Film (Animated),Harvie Krumpet
2003,Short Film (Live Action),Two Soldiers
2003,Sound,The Lord of the Rings: The Return of the King
2003,Sound Editing,Master and Commander: The Far Side of the World
2003,Visual Effects,The Lord of the Rings: The Return of the King
2003,Writing,The Lord of the Rings: The Return of the King
2003,Writing,Lost in Translation
2002,Actor -- Leading Role,Adrien Brody
2002,Actor -- Supporting Role,Chris Cooper
2002,Actress -- Leading Role,Nicole Kidman
2002,Actress -- Supporting Role,Catherine Zeta-Jones
2002,Animated Feature Film,Spirited Away
2002,Art Direction,Chicago
2002,Cinematography,Road to Perdition
2002,Costume Design,Chicago
2002,Directing,The Pianist
2002,Documentary (Feature),Bowling for Columbine
2002,Documentary (Short Subject),Twin Towers
2002,Film Editing,Chicago
2002,Foreign Language Film,Nowhere in Africa
2002,Makeup,Frida
2002,Music (Scoring),Frida
2002,Music (Song),8 Mile
2002,Best Picture,Chicago
2002,Short Film (Animated),The ChubbChubbs!
2002,Short Film (Live Action),This Charming Man (Der Er En Yndig Mand)
2002,Sound,Chicago
2002,Sound Editing,The Lord of the Rings: The Two Towers
2002,Visual Effects,The Lord of the Rings: The Two Towers
2002,Writing,The Pianist
2002,Writing,Talk to Her
2001,Actor -- Leading Role,Denzel Washington
2001,Actor -- Supporting Role,Jim Broadbent
2001,Actress -- Leading Role,Halle Berry
2001,Actress -- Supporting Role,Jennifer Connelly
2001,Animated Feature Film,Shrek
2001,Art Direction,Moulin Rouge
2001,Cinematography,The Lord of the Rings: The Fellowship of the Ring
2001,Costume Design,Moulin Rouge
2001,Directing,A Beautiful Mind
2001,Documentary (Feature),Murder on a Sunday Morning
2001,Documentary (Short Subject),Thoth
2001,Film Editing,Black Hawk Down
2001,Foreign Language Film,No Man's Land
2001,Makeup,The Lord of the Rings: The Fellowship of the Ring
2001,Music (Scoring),The Lord of the Rings: The Fellowship of the Ring
2001,Music (Song),"Monsters, Inc."
2001,Best Picture,A Beautiful Mind
2001,Short Film (Animated),For the Birds
2001,Short Film (Live Action),the accountant
2001,Sound,Black Hawk Down
2001,Sound Editing,Pearl Harbor
2001,Visual Effects,The Lord of the Rings: The Fellowship of the Ring
2001,Writing,A Beautiful Mind
2001,Writing,Gosford Park
2000,Actor -- Leading Role,Russell Crowe
2000,Actor -- Supporting Role,Benicio Del Toro
2000,Actress -- Leading Role,Julia Roberts
2000,Actress -- Supporting Role,Marcia Gay Harden
2000,Art Direction,"Crouching Tiger, Hidden Dragon"
2000,Cinematography,"Crouching Tiger, Hidden Dragon"
2000,Costume Design,Gladiator
2000,Directing,Traffic
2000,Documentary (Feature),Into the Arms of Strangers: Stories of the Kindertransport
2000,Documentary (Short Subject),Big Mama
2000,Film Editing,Traffic
2000,Foreign Language Film,"Crouching Tiger, Hidden Dragon"
2000,Makeup,Dr. Seuss' How the Grinch Stole Christmas
2000,Music (Scoring),"Crouching Tiger, Hidden Dragon"
2000,Music (Song),Wonder Boys
2000,Best Picture,Gladiator
2000,Short Film (Animated),Father and Daughter
2000,Short Film (Live Action),Quiero Ser (I want to be...)
2000,Sound,Gladiator
2000,Sound Editing,U-571
2000,Visual Effects,Gladiator
2000,Writing,Traffic
2000,Writing,Almost Famous
2000,Irving G. Thalberg Memorial Award,Dino De Laurentiis
1999,Actor -- Leading Role,Kevin Spacey
1999,Actor -- Supporting Role,Michael Caine
1999,Actress -- Leading Role,Hilary Swank
1999,Actress -- Supporting Role,Angelina Jolie
1999,Art Direction,Sleepy Hollow
1999,Cinematography,American Beauty
1999,Costume Design,Topsy-Turvy
1999,Directing,American Beauty
1999,Documentary (Feature),One Day in September
1999,Documentary (Short Subject),King Gimp
1999,Film Editing,The Matrix
1999,Foreign Language Film,All about My Mother
1999,Makeup,Topsy-Turvy
1999,Music (Scoring),The Red Violin
1999,Music (Song),Tarzan
1999,Best Picture,American Beauty
1999,Short Film (Animated),The Old Man and the Sea
1999,Short Film (Live Action),My Mother Dreams the Satan's Disciples in New York
1999,Sound,The Matrix
1999,Sound Editing,The Matrix
